   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -8.042  -0.5531   0.01141   0.00594  -0.0724   0.7790   0.0188
  -7.190  -0.4625   0.01040   0.00479  -0.0725   0.7592   0.0205
  -6.279  -0.3621   0.00966   0.00396  -0.0731   0.7408   0.0228
  -5.163  -0.2379   0.00871   0.00290  -0.0740   0.7201   0.0261
  -4.282  -0.1378   0.00814   0.00228  -0.0750   0.7047   0.0317
  -3.374  -0.0350   0.00731   0.00171  -0.0762   0.6902   0.1059
  -2.452   0.0674   0.00528   0.00102  -0.0783   0.6764   0.5173
  -1.442   0.1863   0.00512   0.00099  -0.0800   0.6624   0.5992
  -0.503   0.2972   0.00514   0.00103  -0.0815   0.6500   0.6338
   0.384   0.4020   0.00520   0.00108  -0.0830   0.6388   0.6462
   0.637   0.4319   0.00521   0.00110  -0.0835   0.6357   0.6494
   2.112   0.6049   0.00538   0.00129  -0.0857   0.6095   0.6702
   3.608   0.7750   0.00585   0.00164  -0.0871   0.5315   0.6939
   4.638   0.8641   0.00833   0.00297  -0.0836   0.2600   0.7118
   5.807   0.9589   0.01128   0.00492  -0.0788   0.0416   0.7350
   6.975   1.0676   0.01278   0.00640  -0.0760   0.0218   0.7613
   8.458   1.1854   0.01501   0.00879  -0.0692   0.0150   0.8019
   9.889   1.2831   0.01816   0.01221  -0.0616   0.0131   0.8513
  11.230   1.3563   0.02240   0.01688  -0.0535   0.0119   0.9241
  12.177   1.4030   0.02605   0.02077  -0.0485   0.0112   1.0000
  13.715   1.4603   0.03489   0.02994  -0.0417   0.0103   1.0000
  15.470   1.5100   0.04800   0.04349  -0.0366   0.0096   1.0000
