   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.163  -0.2388   0.00739   0.00217  -0.0744   0.6867   0.0219
  -4.282  -0.1367   0.00700   0.00178  -0.0757   0.6730   0.0261
  -3.374  -0.0313   0.00658   0.00143  -0.0771   0.6599   0.0452
  -2.452   0.0749   0.00559   0.00101  -0.0788   0.6472   0.2288
  -1.442   0.1920   0.00435   0.00066  -0.0811   0.6339   0.5319
  -0.503   0.3032   0.00424   0.00067  -0.0829   0.6223   0.5938
   0.384   0.4084   0.00427   0.00072  -0.0844   0.6095   0.6167
   0.637   0.4382   0.00430   0.00074  -0.0849   0.6051   0.6205
   2.112   0.6112   0.00454   0.00091  -0.0871   0.5621   0.6398
   3.608   0.7640   0.00656   0.00190  -0.0858   0.2982   0.6618
   4.638   0.8603   0.00855   0.00306  -0.0835   0.0953   0.6790
   5.807   0.9773   0.00999   0.00419  -0.0821   0.0256   0.6991
   6.975   1.0961   0.01104   0.00522  -0.0810   0.0168   0.7216
   8.458   1.2356   0.01267   0.00691  -0.0777   0.0114   0.7553
   9.889   1.3445   0.01472   0.00913  -0.0703   0.0102   0.7957
  11.230   1.4338   0.01761   0.01223  -0.0631   0.0092   0.8421
  12.177   1.4883   0.02045   0.01531  -0.0578   0.0088   0.8879
  13.715   1.5719   0.02564   0.02088  -0.0502   0.0081   1.0000
  15.470   1.6376   0.03558   0.03113  -0.0427   0.0073   1.0000
