   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -8.042  -0.5668   0.00882   0.00386  -0.0712   0.7309   0.0158
  -7.190  -0.4705   0.00831   0.00331  -0.0721   0.7150   0.0168
  -6.279  -0.3672   0.00773   0.00266  -0.0731   0.6985   0.0185
  -5.163  -0.2386   0.00716   0.00207  -0.0746   0.6807   0.0211
  -4.282  -0.1364   0.00680   0.00170  -0.0758   0.6669   0.0254
  -3.374  -0.0308   0.00643   0.00138  -0.0772   0.6535   0.0402
  -2.452   0.0759   0.00560   0.00100  -0.0789   0.6411   0.1888
  -1.442   0.1930   0.00429   0.00063  -0.0813   0.6281   0.5088
  -0.503   0.3042   0.00412   0.00063  -0.0831   0.6167   0.5841
   0.384   0.4096   0.00414   0.00067  -0.0847   0.6032   0.6106
   0.637   0.4394   0.00416   0.00069  -0.0851   0.5983   0.6147
   2.112   0.6118   0.00445   0.00087  -0.0873   0.5473   0.6341
   3.608   0.7620   0.00671   0.00198  -0.0856   0.2532   0.6560
