   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -8.042  -0.4942   0.03136   0.02436  -0.0888   0.9343   0.0528
  -7.190  -0.4077   0.02575   0.01767  -0.0880   0.9129   0.0547
  -6.279  -0.3108   0.02138   0.01314  -0.0872   0.8925   0.0609
  -5.163  -0.2082   0.01810   0.00988  -0.0838   0.8668   0.0732
  -4.282  -0.1437   0.01406   0.00735  -0.0812   0.8461   0.3704
  -3.374  -0.0550   0.01452   0.00850  -0.0772   0.8297   0.6707
  -2.452   0.0281   0.01681   0.01089  -0.0688   0.8128   0.7396
  -1.442   0.1353   0.01687   0.01070  -0.0681   0.7957   0.7622
  -0.503   0.2400   0.01675   0.01039  -0.0691   0.7818   0.7789
   0.384   0.3387   0.01680   0.01037  -0.0701   0.7690   0.7942
   0.637   0.3606   0.01708   0.01070  -0.0694   0.7632   0.7980
   2.112   0.5180   0.01770   0.01147  -0.0699   0.7409   0.8255
   3.608   0.6738   0.01827   0.01239  -0.0688   0.7149   0.8570
   4.638   0.7831   0.01785   0.01228  -0.0671   0.6909   0.8826
   5.807   0.9022   0.01476   0.00930  -0.0606   0.6211   0.9185
   6.975   0.9700   0.01497   0.00881  -0.0488   0.3635   1.0000
   8.458   0.9707   0.02696   0.01870  -0.0354   0.0587   1.0000
   9.889   1.0632   0.03461   0.02619  -0.0303   0.0440   1.0000
  11.230   1.2320   0.04334   0.03542  -0.0319   0.0379   1.0000
  12.177   1.2730   0.05338   0.04662  -0.0268   0.0373   1.0000
