   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -8.042  -0.5098   0.02015   0.01354  -0.0793   0.8641   0.0305
  -7.190  -0.4262   0.01711   0.01031  -0.0782   0.8425   0.0332
  -6.279  -0.3383   0.01478   0.00779  -0.0767   0.8209   0.0372
  -5.163  -0.2272   0.01266   0.00550  -0.0759   0.7968   0.0435
  -4.282  -0.1339   0.01139   0.00414  -0.0759   0.7800   0.0602
  -3.374  -0.0450   0.00821   0.00293  -0.0769   0.7628   0.5751
  -2.452   0.0614   0.00837   0.00301  -0.0775   0.7477   0.6453
  -1.442   0.1768   0.00877   0.00335  -0.0778   0.7321   0.6925
  -0.503   0.2865   0.00880   0.00329  -0.0792   0.7181   0.7062
   0.384   0.3901   0.00889   0.00334  -0.0805   0.7058   0.7191
   0.637   0.4194   0.00890   0.00337  -0.0809   0.7023   0.7225
   2.112   0.5907   0.00918   0.00376  -0.0830   0.6826   0.7460
   3.608   0.7605   0.00932   0.00411  -0.0839   0.6507   0.7722
   4.638   0.8690   0.00926   0.00416  -0.0825   0.5949   0.7936
   5.807   0.9658   0.01089   0.00523  -0.0768   0.3879   0.8206
   6.975   0.9853   0.01696   0.00952  -0.0607   0.0477   0.8578
   8.458   1.0525   0.02170   0.01461  -0.0478   0.0301   0.9266
   9.889   1.1189   0.02835   0.02152  -0.0403   0.0251   1.0000
  11.230   1.1905   0.03535   0.02878  -0.0347   0.0223   1.0000
  12.177   1.1333   0.03192   0.02599  -0.0211   0.0211   1.0000
  13.715   1.1866   0.04819   0.04316  -0.0146   0.0198   1.0000
  15.470   1.0945   0.08045   0.07689  -0.0112   0.0195   1.0000
