     alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -8.042  -0.5055   0.02127   0.01466  -0.0808   0.8754   0.0329
  -7.190  -0.4213   0.01857   0.01147  -0.0794   0.8535   0.0356
  -6.279  -0.3329   0.01577   0.00859  -0.0779   0.8318   0.0401
  -5.163  -0.2238   0.01341   0.00607  -0.0766   0.8075   0.0469
  -4.282  -0.1330   0.01190   0.00452  -0.0764   0.7899   0.0673
  -3.374  -0.0454   0.00880   0.00341  -0.0770   0.7729   0.5924
  -2.452   0.0601   0.00913   0.00364  -0.0772   0.7580   0.6623
  -1.442   0.1745   0.00952   0.00399  -0.0772   0.7416   0.7023
  -0.503   0.2837   0.00955   0.00391  -0.0785   0.7276   0.7162
   0.384   0.3870   0.00964   0.00396  -0.0799   0.7152   0.7294
   0.637   0.4169   0.00967   0.00396  -0.0804   0.7120   0.7334
   2.112   0.5872   0.00997   0.00439  -0.0823   0.6916   0.7572
   3.608   0.7574   0.01016   0.00482  -0.0833   0.6629   0.7836
   4.638   0.8648   0.00990   0.00470  -0.0815   0.6083   0.8054
   5.807   0.9721   0.01063   0.00533  -0.0772   0.4703   0.8325
   6.975   0.9732   0.01740   0.00988  -0.0581   0.0572   0.8730
   8.458   1.0267   0.02227   0.01507  -0.0430   0.0335   0.9697
   9.889   1.1019   0.02978   0.02275  -0.0381   0.0276   1.0000
  11.230   1.1899   0.03631   0.02940  -0.0333   0.0241   1.0000
  12.177   1.2506   0.04148   0.03505  -0.0302   0.0224   1.0000
